Rodriguez;Maxi;Newell's;VOL;9800000;3;;;;;
Pratto;Lucas;Velez;DEL;9200000;3;;;;;
Piatti;Ignacio;San Lorenzo;VOL;9000000;3;;;;;
Riquelme;Juan Roman;Boca;VOL;8500000;3;;;;Row Labels;Count of GDT
Silva;Santiago;Lanus;DEL;8500000;3;;;;1;514
Veron;Juan Sebastian;Estudiantes;VOL;8200000;3;;;;2;161
Gigliotti;Emmanuel;Boca;DEL;8000000;3;;;;3;22
Zarate;Mauro;Velez;DEL;8000000;3;;;;Banega;1
Cavenaghi;Fernando;River;DEL;7700000;3;;;;Cavenaghi;1
Gago;Fernando;Boca;VOL;7700000;3;;;;Correa;1
Banega;Ever;Newell's;VOL;7000000;3;;;;Dominguez;1
Lanzini;Manuel;River;VOL;6800000;3;;;;Echeverria;1
Orion;Agustin;Boca;ARQ;6000000;3;;;;Gago;1
Dominguez;Sebastian;Velez;DEF;5800000;3;;;;Gigliotti;1
Correa;Angel;San Lorenzo;DEL;5700000;3;;;;Goltz;1
Goltz;Paolo Duval;Lanus;DEF;5500000;3;;;;Lanzini;1
Monetti;Fernando;Gimnasia L.P.;ARQ;5400000;3;;;;Licht;1
Echeverria;Mariano;Arsenal;DEF;5100000;3;;;;Marchesin;1
Licht;Lucas;Gimnasia L.P.;DEF;5000000;3;;;;Monetti;1
Saja;Sebastian;Racing;ARQ;6500000;3;;;;Orion;1
Marchesin;Agustin;Lanus;ARQ;6000000;3;;;;Piatti;1
Romagnoli;Leandro;San Lorenzo;VOL;5800000;3;;;;Pratto;1
Gutierrez;Teofilo;River;DEL;8500000;2;;;;Riquelme;1
Trezeguet;David;Newell's;DEL;7700000;2;;;;Rodriguez;1
Vietto;Luciano;Racing;DEL;7500000;2;;;;Romagnoli;1
Martinez;Juan Manuel;Boca;DEL;7100000;2;;;;Saja;1
Obolo;Mauro;Godoy Cruz;DEL;7000000;2;;;;Silva;1
Cauteruccio;Martin;San Lorenzo;DEL;6500000;2;;;;Veron;1
Matos;Mauro;San Lorenzo;DEL;6500000;2;;;;Zarate;1
Vera;Diego;Rafaela;DEL;6500000;2;;;;Grand Total;697
Zuculini;Bruno;Racing;VOL;6500000;2;;;;;
Barovero;Marcelo;River;ARQ;6400000;2;;;;;
Diaz;Daniel;Boca;DEF;6300000;2;;;;;
Heinze;Gabriel;Newell's;DEF;6200000;2;;;;;
Luna;Carlos;Rosario Ctral.;DEL;6200000;2;;;;;
Perez Garcia;Matias;Tigre;VOL;6100000;2;;;;;
Caneo;Miguel;Quilmes;VOL;6000000;2;;;;;
Martinez;Roman;Estudiantes;VOL;6000000;2;;;;;
Pereyra;Cesar;Belgrano;DEL;6000000;2;;;;;
Luna;Jorge;Estudiantes;VOL;5900000;2;;;;;
Mercier;Juan;San Lorenzo;VOL;5900000;2;;;;;
Fabbro;Jonathan;River;VOL;5800000;2;;;;;
Bernardi;Lucas;Newell's;VOL;5700000;2;;;;;
Ortigoza;Nestor;San Lorenzo;VOL;5700000;2;;;;;
Campestrini;Cristian;Arsenal;ARQ;5600000;2;;;;;
Mercado;Gabriel;River;DEF;5600000;2;;;;;
Perotti;Diego;Boca;VOL;5600000;2;;;;;
Acosta;Lautaro;Lanus;DEL;5500000;2;;;;;
Blandi;Nicolas;San Lorenzo;DEL;5500000;2;;;;;
