APELLIDO;NOMBRE;CLUB;POSICION;VALOR
Abecasis;Luciano;River;DEF;2700000
Acevedo;Walter;River;VOL;2500000
Acosta;Lautaro;Boca;DEL;6600000
Affranchino;Facundo;River;VOL;3000000
Aguerre;Alan;Vélez;ARQ;400000
Aguiar;Luis;San Lorenzo;VOL;3800000
Aguirre;Alan;Boca;DEF;500000
Aguirre;Martín;River;VOL;3600000
Aguirre;Nicolás;Arsenal;VOL;4400000
Ahumada;Oscar;All Boys;VOL;4000000
Alario;Lucas;Colón;DEL;1300000
Alayes;Agustín;Estudiantes;DEF;3000000
Albil;Damián;Tigre;ARQ;2600000
Albín;Emiliano;Boca;DEF;2600000
Alcoba;Gerardo;Colón;DEF;3900000
Alderete;Andrés;San Martín SJ;VOL;3000000
Alegre;Alan;Quilmes;DEF;500000
Alemán;Brahian;Unión;VOL;2800000
Allione;Agustín;Vélez;VOL;400000
Altamirano;Lionel;Unión;DEL;300000
Alvarado;Leonardo;Quilmes;DEF;300000
Alvarado;Pablo;San Lorenzo;DEF;3500000
Alvarez S.;Gastón;Belgrano;VOL;500000
Alvarez;Augusto;San Lorenzo;VOL;2800000
Alvarez;Cristian M.;Boca;VOL;500000
Alvarez;Cristian O.;San Martín SJ;VOL;3200000
Andrada;Esteban;Lanús;ARQ;1600000
Angeleri;Marcos;Estudiantes;DEF;4900000
Aquino;Víctor;Belgrano;DEL;2900000
Arano;Carlos;River;DEF;3000000
Araujo;Carlos;Lanús;DEF;3200000
Ardente;Luis;San Martín SJ;ARQ;3200000
Argüello;Marcelo;Colón;DEL;500000
Arias;Ramiro;San Lorenzo;DEF;400000
Arzura;Joaquín;Tigre;VOL;400000
Assmann;Fabián;Independiente;ARQ;4300000
Aued;Luciano;Racing;VOL;3300000
Auzqui;Carlos;Estudiantes;DEL;1000000
Aveldaño;Lucas;Belgrano;DEF;3000000
Avellaneda;Nicolás;Lanús;ARQ;300000
Avendaño;Juan P.;Unión;DEF;4400000
Ayala;Víctor;Lanús;VOL;3800000
Bailo;Andrés;Colón;ARQ;900000
Balbi;Luciano;Lanús;DEF;3000000
Bardín;Giuliano;Belgrano;VOL;800000
Barisone;Diego;Unión;DEF;1500000
Barovero;Marcelo;River;ARQ;6000000
Barraza;Julio;Colón;DEF;2300000
Barrera;Juan;Godoy Cruz;DEF;600000
