Abud, Lucas  ; ; ; ; ; ; ; ; ; ; ;
Agüero, Ariel  ;5 ; ; ; ; ; ; ; ; ; ;
Aguirre, Gastón  ;7 ; ; ; ; ; ; ; ; ; ;
Albil, Damián  ;7 ; ;2 ; ; ; ; ; ; ; ;
Almeyda, Matías  ;6 ; ; ; ; ; ; ; ; ;1 ;
Alustiza, Matías  ; ; ; ; ; ; ; ; ; ; ;
Aróstegui, Juan Manuel ; ; ; ; ; ; ; ; ; ; ;
Aued, Luciano  ;7 ; ; ;1 ; ; ; ; ; ;1 ;
Braghieri, Diego  ; ; ; ; ; ; ; ; ; ; ;
Barraza, Julio  ;5 ; ; ; ; ; ; ; ; ;1 ;
Fritzler, Matías  ;5 ; ; ; ; ; ; ; ; ;1 ;
Battaglia, Sebastián  ;5 ; ; ; ; ; ; ; ; ; ;
Battión, Roberto  ; ; ; ; ; ; ; ; ; ; ;
Benegas, Leandro  ; ; ; ; ; ; ; ; ; ; ;
De Olivera, Jorge  ;5 ;1 ; ; ; ; ; ; ; ; ;
Benítez, Leandro  ;4 ; ; ; ; ; ; ; ; ; ;
Berriex, Mariano  ; ; ; ; ; ; ; ; ; ; ;
Bertoglio, Facundo  ;6 ; ; ; ; ; ; ; ; ;1 ;
Biglieri, Santiago  ; ; ; ; ; ; ; ; ; ; ;
Bolatti, Mario  ;4 ; ; ; ; ; ; ; ; ; ;
Boselli, Mauro  ;3 ; ; ; ; ; ; ; ; ; ;
Bottinelli, Jonathan  ;4 ; ; ; ; ; ; ; ; ;1 ;
Braña, Rodrigo  ; ; ; ; ; ; ; ; ; ; ;
Brítez Ojeda, Marcos  ; ; ; ; ; ; ; ; ; ; ;
Broun, Jorge  ;7 ; ;1 ; ; ; ; ; ; ; ;
Burdisso, Guillermo  ;5.5 ; ; ; ; ; ; ; ; ;1 ;
Bustamante, Marcelo  ;5 ; ; ; ; ; ; ; ; ; ;
Caceres, Julio Cesar ; ; ; ; ; ; ; ; ; ; ;
Cáceres, Marcos  ; ; ; ; ; ; ; ; ; ; ;
Caffa, Germán  ; ; ; ; ; ; ; ; ; ; ;
Cahais, Matías  ;8 ; ; ; ; ; ; ; ; ; ;
Canuto, Ignacio  ;4 ; ; ; ; ; ; ; ; ;1 ;
Caranta, Mauricio  ; ; ; ; ; ; ; ; ; ; ;
Caruso, Leandro  ;5 ; ; ; ; ; ; ; ; ; ;
Caruzzo, Matías  ;4 ; ; ; ; ; ; ; ; ; ;
Castillejos, Gonzalo  ;7 ; ; ; ; ; ; ; ; ;1 ;
Cellay, Christian  ; ; ; ; ; ; ; ; ; ; ;
Cubero, Fabián  ;7.5 ; ; ;1 ;1 ; ; ; ; ;1 ;
Desábato, Leandro  ;5 ; ; ; ; ; ; ; ; ; ;
Desvaux, Héctor  ;3 ; ;1 ; ; ; ; ; ; ; ;1
Domínguez, Federico  ;4 ; ; ; ; ; ; ; ; ; ;
Drocco, David  ; ; ; ; ; ; ; ; ; ; ;
Erviti, Walter  ;8 ; ; ; ;1 ; ; ; ; ; ;
Faccioli, Emir ; ; ; ; ; ; ; ; ; ; ;
Fernández, Sebastián  ;4 ; ; ; ; ; ; ; ; ;1 ;
Ferrari, Paulo  ;4 ; ; ; ; ; ; ; ; ; ;
Ferrero, Alexis  ;5.5 ; ; ; ; ; ; ; ; ; ;
Formica, Lautaro  ;4.5 ; ; ; ; ; ; ; ; ; ;
Formica, Mauro  ;6.5 ; ; ; ;1 ; ; ; ; ; ;
Fuertes, Esteban  ; ; ; ; ; ; ; ; ; ; ;
Gabbarini, Adrian ;6 ; ;1 ; ; ; ; ; ; ; ;
Gaitán, Nicolás  ;7 ; ; ; ; ; ; ; ; ; ;
Galíndez, Hernán  ; ; ; ; ; ; ; ; ; ; ;
Gandín, Darío  ;4 ; ; ; ; ; ; ; ; ; ;
Garcé, Ariel  ;6 ; ; ; ; ; ; ; ; ; ;
Goltz, Paolo  ;4 ; ; ; ; ; ; ; ; ; ;
Gómez, Martín  ;6 ; ; ; ; ; ; ; ; ; ;
González, Diego  ; ; ; ; ; ; ; ; ; ; ;
Goux, Marcelo ;4 ; ; ; ; ; ; ; ; ; ;
Gunino, Adrián  ; ; ; ; ; ; ; ; ; ; ;
Hauche, Gabriel ;5 ; ; ; ; ; ; ; ; ; ;
Higuaín, Federico  ;4.5 ; ; ; ; ; ; ; ; ; ;
Ibarra, Hugo  ; ; ; ; ; ; ; ; ; ; ;
Insaurralde, Juan M. ;6 ; ; ; ; ; ; ; ; ;1 ;
Ischuk, Lucas  ;4 ; ;4 ; ; ; ; ; ; ; ;
Islas, Daniel  ;6 ; ;2 ; ; ; ; ; ; ; ;
Jara, Franco ;8 ; ; ;1 ;1 ; ; ; ; ;1 ;
Jara, Matías  ;5 ; ; ; ; ; ; ; ; ; ;
Jerez, Pablo  ; ; ; ; ; ; ; ; ; ; ;
Juárez, Miguel Angel ; ; ; ; ; ; ; ; ; ; ;
Ledesma, Eduardo  ; ; ; ; ; ; ; ; ; ; ;
Lluy, Braian ;5 ; ; ; ; ; ; ; ; ; ;
López, Víctor  ;6 ; ; ; ; ; ; ; ; ; ;
Lucchetti, Cristian  ;6 ; ;1 ; ; ; ; ; ; ; ;
Luna, Carlos  ;3 ; ; ; ; ; ; ; ; ; ;
Mancuello, Federico  ;4 ; ; ; ; ; ; ; ; ; ;
Manzur, Julio  ; ; ; ; ; ; ; ; ; ; ;
Marchant, Julio  ;5 ; ; ; ; ; ; ; ; ; ;
Marino, Guillermo  ; ; ; ; ; ; ; ; ; ; ;
Martinena, Néstor  ; ; ; ; ; ; ; ; ; ; ;
Martínez, Matías  ;7 ; ; ; ; ; ; ; ; ; ;
Matheu, Carlos  ;5 ; ; ; ; ; ; ; ; ;1 ;
Medel, Gary ;4 ; ; ; ; ; ; ; ; ; ;
Méndez, Jesœs  ;8 ; ; ;1 ;1 ; ;1 ; ; ; ;
Mercier, Juan  ;3 ; ; ; ; ; ; ; ; ; ;1
Migliore, Pablo  ;4 ; ;2 ; ; ; ; ; ; ; ;
Moralez, Maximiliano  ;7 ; ; ; ; ; ; ; ; ; ;
Morel, Martín  ;5.5 ; ; ; ; ; ; ; ; ; ;
Mouche, Pablo  ; ; ; ; ; ; ; ; ; ; ;
Navarro, Hilario  ; ; ; ; ; ; ; ; ; ; ;
Nœñez, Cristian  ; ; ; ; ; ; ; ; ; ; ;
Nœñez, Gervasio  ;4.5 ; ; ; ; ; ; ; ; ; ;
Olmedo, Nicolás  ;6 ; ; ; ; ; ; ; ; ; ;
Ortega, Ariel ; ; ; ; ; ; ; ; ; ; ;
Ortigoza, Néstor  ;4.5 ; ; ; ; ; ; ; ; ; ;
Otamendi, Nicolás  ;6.5 ; ; ; ; ; ; ; ; ; ;
Oviedo, Lucas  ; ; ; ; ; ; ; ; ; ; ;
Paglialunga, Mario  ;6.5 ; ; ; ; ; ; ; ; ; ;
Paletta, Gabriel  ;4.5 ; ; ; ; ; ; ; ; ;1 ;
Papa, Emiliano ;5.5 ; ; ; ; ; ; ; ; ; ;
Paparatto, Norberto  ; ; ; ; ; ; ; ; ; ; ;
Pelletieri, Agustín  ;4 ; ; ; ; ; ; ; ; ; ;
Peppino, Franco  ; ; ; ; ; ; ; ; ; ; ;
Peratta, Sebastián  ;7 ; ;1 ; ; ; ; ; ; ; ;
Pereyra, Juan  ;5 ; ; ; ; ; ; ; ; ; ;
Pérez, Enzo  ;2 ; ; ; ; ; ; ; ; ; ;1
Pintos, Pablo ;6 ; ; ; ;1 ; ; ; ; ; ;
Pozo, Diego  ;5.5 ;1 ; ; ; ; ; ; ; ; ;
Prósperi, Gonzalo  ; ; ; ; ; ; ; ; ; ; ;
Ramírez, Alfredo  ;4.5 ; ; ; ; ; ; ; ; ; ;
Ramírez, Rubén  ; ; ; ; ; ; ; ; ; ; ;
Raymonda, Santiago  ;3 ; ; ; ; ; ; ; ; ; ;
Riquelme, Juan Román ; ; ; ; ; ; ; ; ; ; ;
Rivarola, Germán  ;7 ; ; ; ; ; ; ; ; ; ;
Rivero, Diego ;6.5 ; ; ; ; ; ; ; ; ; ;
Rodríguez, Clemente  ;6 ; ; ; ; ; ; ; ; ; ;
Rodríguez, James  ; ; ; ; ; ; ; ; ; ; ;
Rodríguez, Patricio  ;5 ; ; ; ; ; ; ; ; ; ;
Roldán, Alfredo Israel ; ; ; ; ; ; ; ; ; ; ;
Romagnoli, Leandro ; ; ; ; ; ; ; ; ; ; ;
Romero, Sebastián  ;6 ; ; ; ; ; ; ; ; ;1 ;
Rosada, Ariel  ;4 ; ; ; ; ; ; ; ; ;1 ;
Quiroga, Juan  ; ; ; ; ; ; ; ; ; ; ;
Salcedo, Santiago  ;6 ; ; ; ; ; ; ; ; ; ;
Salvio, Eduardo  ;6 ; ; ; ; ; ; ; ; ; ;
Grabinski, Cristian  ;6 ; ; ; ; ; ; ; ; ; ;
Sánchez Prette, Cristian  ; ; ; ; ; ; ; ; ; ; ;
Sarría, Claudio  ; ; ; ; ; ; ; ; ; ; ;
Scotti, Andrés  ;4 ; ; ; ; ; ; ; ; ; ;
Sigali, Leonardo  ; ; ; ; ; ; ; ; ; ; ;
Silva, Santiago ;7 ; ; ; ;1 ; ; ; ; ; ;
Stracqualursi, Denis  ; ; ; ; ; ; ; ; ; ; ;
Tauber, Nicolás  ; ; ; ; ; ; ; ; ; ; ;
Torres, Aureliano  ;5.5 ; ; ; ; ; ; ; ; ; ;
Torrico, Sebastián  ;8 ; ;2 ;1 ; ; ; ; ; ; ;
Tula, Cristian  ;6 ; ; ; ; ; ; ; ; ; ;
Vangioni, Leonel  ;6 ; ; ; ; ; ; ; ; ;1 ;
Vega, Daniel ; ; ; ; ; ; ; ; ; ; ;
Zelaya, Emilio  ;4 ; ; ; ; ; ; ; ; ; ;
Vella, Luciano  ;4 ; ; ; ; ; ; ; ; ; ;
Verón, Juan Sebastián ;8 ; ; ;1 ;1 ; ; ; ; ;1 ;
Viatri, Lucas  ; ; ; ; ; ; ; ; ; ; ;
Vismara, Federico  ; ; ; ; ; ; ; ; ; ; ;
Zapata, Víctor  ;6 ; ; ; ; ; ; ; ; ; ;
Zarif, Omar  ;6 ; ; ; ; ; ; ; ; ;1 ;
