APELLIDO;NOMBRE;CLUB;POSICION;VALOR
Acevedo; Walter;Banfield;VOL;4400000
Achucarro; David;Boca;DEF;600000
Achucarro; Jorge;Banfield;DEL;4500000
Acosta; Joel;Boca;DEL;500000
Acosta; Ricardo;Unión;VOL;1200000
Aguerre; Alan;Vélez;ARQ;300000
Aguilar; Pablo César;Arsenal;DEF;4000000
Aguilera; Emanuel;Godoy Cruz;DEF;1200000
Aguirre; Gastón;San Lorenzo;DEF;3700000
Aguirre; Marcos;San Martín SJ;VOL;3700000
Aguirre; Nicolás;Arsenal;VOL;2000000
Alario; Lucas;Colón;DEL;500000
Albil; Damián;Estudiantes;ARQ;3000000
Almerares; Federico;Belgrano;DEL;2800000
Almirón; Sergio;Newell's;DEL;2800000
Alvarado; Pablo;San Lorenzo;VOL;1800000
Alvarez; Cristian;San Martín SJ;VOL;3200000
Amerise; Nicolás;Unión;DEL;1000000
Andrada; Esteban;Lanús;ARQ;900000
Antoniazzi; Martín;Unión;DEF;300000
Aquino; Arturo David;Olimpo;DEF;2000000
Aquino; Víctor;Newell's;DEL;2800000
Araujo; Carlos;Lanús;DEF;3000000
Araujo; Sergio;Boca;DEL;2000000
Arce; Ignacio;Unión;ARQ;900000
Ardente; Luis;San Martín SJ;ARQ;2500000
Argachá; Adrián;Independiente;DEF;2000000
Arias; Gabriel;Olimpo;ARQ;600000
Arzura; Joaquín;Tigre;VOL;300000
Assmann; Fabián;Independiente;ARQ;4000000
Aued; Luciano;Racing;VOL;4000000
Auzqui; Carlos;Estudiantes;DEL;1000000
Auzqui; Diego;Estudiantes;VOL;1200000
Aveldaño; Lucas;Racing;DEF;3700000
Avendaño; Juan;Unión;DEF;3200000
Ayala; Néstor;San Martín SJ;DEL;3800000
Báez; Cristian;Independiente;DEF;1500000
Bailo; Andrés;Colón;ARQ;700000
Balbi; Luciano;Lanús;DEF;2800000
Bárbaro; Alejandro;Banfield;VOL;1600000
Barceló; Guido;Godoy Cruz;DEL;1100000
Barcia; Ignacio;Independiente;DEF;800000
Bareiro; Néstor;Olimpo;DEL;4100000
Bargas; Hugo;All Boys;DEL;2000000
Barisone; Diego;Unión;DEF;800000
Barovero; Marcelo;Vélez;ARQ;6000000
Barrales; Jerónimo;Unión;DEL;3200000
Barraza; Julio;Colón;DEF;2500000
Barrera; Leandro;Argentinos;DEL;600000
Barrientos; Fernando;Lanús;VOL;400000
Barrientos; Hugo;All Boys;VOL;3500000
Barrios; Pier Miqueas;Belgrano;DEF;1100000
Barzola; Pablo;Argentinos;DEF;3000000
Bastía; Adrián;Colón;VOL;3700000
Basualdo; Germán;Argentinos;VOL;2400000
Batista; Matías;All Boys;DEF;300000
Battaglia; Sebastián;Boca;VOL;5000000
Battión; Roberto;Independiente;VOL;4200000
Bauchet; Nicolás;Banfield;DEL;400000
Bazán; Gonzalo;San Lorenzo;VOL;2600000
Bella; Iván;Vélez;VOL;3400000
Benedetto; Darío;Arsenal;DEL;2100000
Benítez; Leandro Damián;Estudiantes;VOL;5100000
Benítez; Marcos;Newell's;DEF;500000
Benítez; Nahuel;San Lorenzo;DEL;900000
Benítez; Nelson;Estudiantes;DEF;3000000
Benítez; Oscar;Lanús;VOL;300000
Berardo; Nicolás;Argentinos;DEF;2400000
Bernardi; Lucas;Newell's;VOL;4500000
Bianchi Arce; Nicolás;San Lorenzo;DEF;4000000
Bittolo; Mariano Ezequiel;Vélez;DEF;1000000
Blanco Leschuk; Gustavo;Arsenal;DEL;2500000
Blandi; Nicolás;Boca;DEL;2800000
Blengio; Juan Carlos;Tigre;DEF;3800000
Bogado; Mauro;San Martín SJ;VOL;2700000
Bologna; Enrique;Unión;ARQ;4500000
Bonomo; Luciano;Estudiantes;DEF;400000
Boselli; Mauro;Estudiantes;DEL;9000000
Botta; Rubén;Tigre;VOL;3000000
Bottinelli; Jonathan;San Lorenzo;DEF;5100000
Bozzoni; Gonzalo;San Lorenzo;DEF;1600000
Braghieri; Diego ;Lanús;DEF;2500000
Braña; Rodrigo;Estudiantes;VOL;5200000
Broggi; Ariel;Banfield;DEF;2300000
Brum; Roberto;Argentinos;VOL;3000000
Bruna; Nicolás;Unión;VOL;2300000
Burdisso; Guillermo;Arsenal;DEF;4200000
Burrai; Javier;Arsenal;ARQ;300000
Busse; Walter;Independiente;VOL;3100000
Bustamante; Marcelo;Banfield;DEF;3500000
Bustos; Maximiliano;San Martín SJ;VOL;2800000
Cabral; Alejandro;Vélez;VOL;3000000
Cabrera; Gonzalo;Godoy Cruz;VOL;2000000
Cabrera; Nicolás;Independiente;VOL;4000000
Cabrera; Rafael;San Lorenzo;VOL;300000
Cáceres; Germán;Rafaela;VOL;2900000
Cáceres; Marcos;Racing;DEF;4000000
Cáceres; Samuel;Independiente;DEF;900000
Caffa; Juan Pablo;Arsenal;VOL;3900000
Cafferatti; Leonel;Racing;ARQ;300000
Cahais; Matías;Racing;DEF;4000000
Caire; Maximiliano;Colón;DEF;1800000
Camacho; Néstor;Newell's;VOL;3200000
Camargo; Alejandro;Godoy Cruz;VOL;1600000
Cambiasso; Nicolás;All Boys;ARQ;4600000
Camoranesi; Mauro;Lanús;VOL;6100000
Campestrini; Cristian;Arsenal;ARQ;5300000
Candia; Salustiano;Colón;DEF;2800000
Cantero; Pablo;San Martín SJ;VOL;2000000
Canteros; Héctor;Vélez;VOL;2900000
Canuto; Damián;San Martín SJ;VOL;1200000
Capellino; Nicolás;Rafaela;DEL;1000000
Caprari; Gastón;San Martín SJ;DEL;2100000
Caprio; Nicolás;Unión;ARQ;600000
Carabajal; Matías;San Martín SJ;VOL;2500000
Caranta; Mauricio;Lanús;ARQ;4400000
Carbonero; Carlos;Estudiantes;VOL;3000000
Carboni; Ezequiel;Banfield;VOL;4200000
Cárdenas; Juan Pablo;Unión;DEF;3000000
Carmona; Giancarlo;San Lorenzo;DEF;3900000
Carniello; Oscar;Rafaela;DEF;2800000
Carranza; César;Lanús;DEL;4500000
Carranza; Jorge;Rafaela;ARQ;1800000
Carrasco; Javier;Tigre;VOL;1500000
Carrera; Sebastián;Rafaela;VOL;4200000
Carrillo; Guido;Estudiantes;DEL;1200000
Carrusca; Marcelo;San Martín SJ;VOL;4100000
Caruso; Leandro;Godoy Cruz;DEL;4000000
Caruzzo; Matías;Boca;DEF;4700000
Casais; Eduardo;Olimpo;DEF;3100000
Castaño; Diego;Tigre;VOL;4500000
