APELLIDO;NOMBRE;CLUB;POSICION;VALOR
Abelairas; Matías;River;VOL;3000000
Acevedo; Gonzalo;San Lorenzo;ARQ;300000
Acevedo; Walter;River;VOL;4600000
Achucarro; David;Boca;DEF;600000
Achucarro; Jorge;Banfield;DEL;4400000
Acosta; Joel;Boca;DEL;500000
Acosta; Lucas;Colón;VOL;2800000
Affranchino; Facundo;River;VOL;3400000
Aguerre; Alan;Vélez;ARQ;300000
Aguilar; Pablo César;Arsenal;DEF;4100000
Aguilera; Emanuel;Godoy Cruz;DEF;800000
Aguirre; Gastón;San Lorenzo;DEF;4000000
Aguirre; Marcos;Arsenal;VOL;4200000
Aguirre; Martín;Olimpo;VOL;2800000
Aguirre; Nicolás;Huracán;DEF;300000
Agüero; Ariel;Gimnasia LP;DEF;4600000
Albil; Damián;San Lorenzo;ARQ;3800000
Almeyda; Matías;River;VOL;5000000
Almirón; Sergio;Newell's;DEL;2800000
Altobelli; Leonel;Tigre;DEL;2900000
Alustiza; Matías;Arsenal;DEL;4000000
Alvarado; Pablo;San Lorenzo;VOL;1600000
Alvarez; Cristian;Arsenal;VOL;3800000
Alvarez; Ricardo;Vélez;VOL;2900000
Andrada; Esteban;Lanús;ARQ;600000
Angeloff; David;Huracán;DEF;400000
Anzorena; Horacio;Tigre;VOL;1000000
Arano; Carlos;River;DEF;3800000
Araujo; Carlos;Lanús;DEF;3000000
Araujo; Sergio;Boca;DEL;2000000
Arce; Carlos;Lanús;DEF;1900000
Ardente; Luis;Tigre;ARQ;2500000
Arias; Gabriel;Olimpo;ARQ;600000
Arias; Mauricio;Colón;DEF;300000
Assmann; Fabián;Independiente;ARQ;4000000
Aued; Luciano;Gimnasia LP;VOL;4500000
Auzqui; Carlos;Estudiantes;DEL;900000
Auzqui; Diego;Estudiantes;VOL;500000
Aveldaño; Lucas;Racing;DEF;3700000
Báez; Cristian;Independiente;DEF;1200000
Bailo; Andrés;Colón;ARQ;600000
Balbi; Luciano;Lanús;DEF;1300000
Ballón; Josepmir;River;VOL;2800000
Bárbaro; Alejandro;Banfield;VOL;300000
Barcia; Ignacio;Independiente;DEF;800000
Bareiro; Néstor;Olimpo;DEL;3500000
Barovero; Marcelo;Vélez;ARQ;5300000
Barraza; Julio;Banfield;DEF;2800000
Barrera; Leandro;Argentinos;DEL;600000
Barrientos; Fernando;Lanús;VOL;300000
Barrientos; Hugo;All Boys;VOL;3500000
Barrientos; Pablo;Estudiantes;VOL;7900000
Barros Schelotto; Guillermo;Gimnasia LP;DEL;7000000
Bartelt; Gustavo;All Boys;DEL;3800000
Basualdo; Germán;Argentinos;VOL;2200000
Batista; Matías;All Boys;DEF;300000
Battaglia; Rodrigo;Huracán;VOL;3300000
Battaglia; Sebastián;Boca;VOL;5700000
Battión; Roberto;Independiente;VOL;4600000
Bauchet; Nicolás;Banfield;DEL;300000
Bella; Iván;Vélez;VOL;3000000
Bellone; Mauro;Colón;VOL;2900000
Benítez; Leandro Damián;Estudiantes;VOL;5300000
Benítez; Nahuel;San Lorenzo;DEL;900000
Benítez; Nelson;Estudiantes;DEF;4000000
Benítez; Oliver;Gimnasia LP;DEF;700000
Benítez; Oscar;Lanús;VOL;300000
Berardo; Nicolás;Argentinos;DEF;1600000
Bernardi; Lucas;Newell's;VOL;4500000
Bianchi Arce; Nicolás;Olimpo;DEF;3600000
Bieler; Claudio;Newell's;DEL;5000000
Bittolo; Mariano Ezequiel;Vélez;DEF;900000
Blanco; Gustavo;Arsenal;DEL;300000
Blanco; Jonathan;Tigre;VOL;2500000
